OBJECTID,FD_ID,DEPT_NAME,STATION_NUMBER,STATION_ADDRESS,CITY,STATE,COUNTY,ZIP_CODE,LATITUDE,LONGITUDE,x,y
31524,02511,Little Swift Creek Volunteer Fire Department,3,2580 Aurora Rd,Ernul,NC,Craven,28527,35.25599049,-76.99477318,-76.99477318,35.25599049
31525,02511,Little Swift Creek Volunteer Fire Department,4,320 Macedonia Church Rd.,Ernul,NC,Craven,28527,35.25336962,-77.08459431,-77.0845943099999,35.2533696200001
31526,04206,"Littleton Volunteer Fire Department, Inc.",1,226 Hwy 158 E ,Littleton,NC,Halifax,27850,36.4366,-77.9071,-77.9071,36.4366000000001
31527,04206,"Littleton Volunteer Fire Department, Inc.",2,676 Oak Grove Church Rd,Littleton,NC,Halifax,27850,36.47587254,-77.85403884,-77.85403884,36.4758725400001
31528,08061,"Locke Township Fire Department, Incorporated",1,5405 Mooresville Rd,Salisbury,NC,Rowan,28147,35.6534041,-80.58719959,-80.58719959,35.6534041
31529,08061,"Locke Township Fire Department, Incorporated",2,1819 Moorseville Road,Salisbury,NC,Rowan,28147,35.66423947,-80.51471376,-80.5147137599999,35.66423947
31530,08061,"Locke Township Fire Department, Incorporated",3,2220 Grace Church Road,Salisbury,NC,Rowan,28147,35.61823519,-80.56955364,-80.56955364,35.6182351900001
31531,09924,"Lone Hickory Volunteer Fire Department, Inc.",1,3200 Lone Hickory Road,Yadkinville,NC,Yadkin,27055,36.06077451,-80.72142621,-80.7214262099999,36.06077451
31532,09313,"Long Bridge Volunteer Fire Department, Incorporated",1,1678 Eaton Ferry Road,Littleton,NC,Warren,27850,36.4984,-77.96508694,-77.9650869399999,36.4984000000001
31533,06012,"Long Creek Volunteer Fire Department, Inc.",1,6809 Beatties Ford Rd.,Charlotte,NC,Mecklenburg,28216,35.3255,-80.8671,-80.8670999999999,35.3255
31534,01808,Long View Fire Department,1,2404 1st Ave SW,Hickory,NC,Catawba,28602,35.72932645,-81.3790923,-81.3790923,35.72932645
31535,01255,"Longtown Volunteer Fire Department, Inc.",1,7765 South Mountain Institute Rd.,Nebo,NC,Burke,28761,35.7718,-81.9193,-81.9193,35.7718
31536,03507,Louisburg Fire Department,1,102 Wade Ave,Louisburg,NC,Franklin,27549,36.09716316,-78.29895055,-78.29895055,36.09716316
31537,01263,"Lovelady Volunteer Fire & Rescue Department, Incorporated",1,748 Malcolm Blvd.,Rutherford College,NC,Burke,28671,35.74960844,-81.5245249,-81.5245249,35.74960844
31538,01263,"Lovelady Volunteer Fire & Rescue Department, Incorporated",2,1008 US 70 Hwy ,Connelly Springs,NC,Burke,28612,35.7403,-81.5034,-81.5033999999999,35.7403
31539,03615,"Lowell Volunteer Fire Department, Inc.",1,202 Groves Street,Lowell,NC,Gaston,28098,35.26537219,-81.10041953,-81.10041953,35.2653721900001
31540,02703,Lower Currituck V. F. D. Inc.,1,6323 Caratoke Hwy,Grandy,NC,Currituck,27939,36.24813794,-75.88683067,-75.8868306699999,36.24813794
31541,02703,Lower Currituck V. F. D. Inc.,2,424 Waterlily Rd,Coinjock,NC,Currituck,27923,36.35382034,-75.94455131,-75.94455131,36.35382034
